Cumulative_shifted,Episode_order,Season,Episode,Correct_start,Correct_stop,Speaker
26975.5,101,1,01,10.940937500003201,11.902812500004075,13
26975.5,101,1,01,13.0334374999984,18.07906250000451,13
26975.5,101,1,01,23.040312500004802,24.103437500001746,13
26975.5,101,1,01,24.103437500001746,32.507187500003056,7
26975.5,101,1,01,32.507187500003056,32.996562500004075,4
26975.5,101,1,01,32.996562500004075,33.418437500004075,13
26975.5,101,1,01,34.717812500002765,39.240312499998254,13
26975.5,101,1,01,39.881562499998836,50.91781250000349,13
26975.5,101,1,01,50.91781250000349,56.621562500004075,24
26975.5,101,1,01,58.697187500001746,59.912187499998254,19
26975.5,101,1,01,59.912187499998254,63.94531250000364,24
26975.5,101,1,01,63.94531250000364,64.5021874999984,7
26975.5,101,1,01,64.5021874999984,65.39656249999825,5
26975.5,101,1,01,67.06718750000437,67.94468750000306,5
26975.5,101,1,01,67.94468750000306,68.48468750000393,11
26975.5,101,1,01,68.48468750000393,70.7121875000048,0
26975.5,101,1,01,70.7121875000048,72.41656249999869,18
26975.5,101,1,01,72.41656249999869,75.0659375000032,0
26975.5,101,1,01,75.53843750000306,77.49593750000349,0
26975.5,101,1,01,78.0021874999984,79.4196875000016,24
26975.5,101,1,01,79.50406250000378,79.9934375000048,11
26975.5,101,1,01,80.49968750000335,81.00593749999825,6
26975.5,101,1,01,81.00593749999825,82.9465625000048,24
26975.5,101,1,01,82.9465625000048,84.3303124999984,6
26975.5,101,1,01,84.44843750000291,85.49468749999869,6
26975.5,101,1,01,85.49468749999869,86.99656250000407,13
26975.5,101,1,01,87.60406249999869,88.19468750000306,13
26975.5,101,1,01,88.44781249999869,93.99968750000335,13
26975.5,101,1,01,94.0334374999984,94.43843750000451,13
26975.5,101,1,01,94.43843750000451,97.0034375000032,4
26975.5,101,1,01,97.12156250000407,100.49656250000407,4
26975.5,101,1,01,106.58843749999869,108.41093750000437,4
26975.5,101,1,01,111.88718750000407,112.62968750000437,4
26975.5,101,1,01,114.7221875000032,116.6965625000048,4
26975.5,101,1,01,121.0334374999984,121.43843750000451,4
26975.5,101,1,01,121.50593749999825,122.90656250000393,10
26975.5,101,1,01,127.54718750000393,131.5803124999984,10
26975.5,101,1,01,138.04343750000407,138.54968750000262,10
26975.5,101,1,01,140.30468750000364,140.99656250000407,4
26975.5,101,1,01,140.99656250000407,143.57843750000393,23
26975.5,101,1,01,150.32843750000393,151.69531250000364,4
26975.5,101,1,01,157.1965625000048,161.6515625000029,4
26975.5,101,1,01,161.8709375000035,164.01406249999854,4
26975.5,101,1,01,164.2165625000016,164.9253125000032,4
26975.5,101,1,01,168.14843750000364,168.7221875000032,4
26975.5,101,1,01,169.4646875000035,170.2746875000048,4
26975.5,101,1,01,173.0421875000029,180.0790625000045,4
26975.5,101,1,01,180.5346875000032,181.00718750000306,0
26975.5,101,1,01,181.00718750000306,183.08281250000437,4
26975.5,101,1,01,188.5334374999984,194.06843749999825,4
26975.5,101,1,01,208.04093750000175,210.0659375000032,4
26975.5,101,1,01,215.8371875000048,218.19968750000407,4
26975.5,101,1,01,225.94531250000364,233.74156250000306,13
26975.5,101,1,01,235.15906250000262,240.1203125000029,13
26975.5,101,1,01,240.1203125000029,242.07781250000335,20
26975.5,101,1,01,244.86218750000262,258.4465625000048,20
26975.5,101,1,01,261.45031250000466,261.9396874999984,4
26975.5,101,1,01,261.9396874999984,264.09968749999825,0
26975.5,101,1,01,264.74093749999884,267.69406249999884,0
26975.5,101,1,01,268.43656250000276,274.9165624999987,4
26975.5,101,1,01,276.23281249999854,278.5109375000029,4
26975.5,101,1,01,278.6121875000026,279.4390625000051,4
26975.5,101,1,01,279.50656249999884,281.9871875000026,4
26975.5,101,1,01,297.74843749999854,301.5790625000045,13
26975.5,101,1,01,306.5403125000048,308.5821875000038,20
26975.5,101,1,01,311.33281250000437,314.8765625000051,20
26975.5,101,1,01,317.8465625000026,319.6521875000035,20
26975.5,101,1,01,322.03156250000393,327.29656250000335,4
26975.5,101,1,01,331.2453125000029,333.9621875000048,4
26975.5,101,1,01,334.9409375000032,336.8478125000038,0
26975.5,101,1,01,337.3709375000035,338.56906249999884,0
26975.5,101,1,01,339.8684375000048,341.8765625000051,0
26975.5,101,1,01,352.6596875000032,356.0346875000032,4
26975.5,101,1,01,371.1040624999987,375.0190625000032,4
26975.5,101,1,01,378.3940625000032,382.4946874999987,15
26975.5,101,1,01,386.03843750000306,389.7678124999984,4
26975.5,101,1,01,404.6684375000041,406.50781250000364,13
26975.5,101,1,01,420.31156250000276,423.36593749999884,4
26975.5,101,1,01,423.61906250000175,424.7834374999984,4
26975.5,101,1,01,426.01531250000335,426.57218750000175,4
26975.5,101,1,01,429.0865625000042,434.97593750000306,4
26975.5,101,1,01,442.53593750000437,447.5815625000032,4
26975.5,101,1,01,444.88156249999884,445.5734375000029,0
26975.5,101,1,01,449.53906250000364,454.7534375000032,4
26975.5,101,1,01,459.54593750000276,460.5246875000048,4
26975.5,101,1,01,465.53656250000495,466.2621875000041,4
26975.5,101,1,01,466.5321875000045,468.8778125000026,4
26975.5,101,1,01,469.1646875000042,470.0759375000016,4
