Cumulative_shifted,Episode_order,Season,Episode,Correct_start,Correct_stop,Speaker
44921.5,101,1,01,19.5190625000032,20.008437500000582,0
44921.5,101,1,01,89.07781249999971,96.9921875,0
44921.5,101,1,01,96.9921875,98.8315625000032,2
44921.5,101,1,01,102.3246874999968,107.60656249999738,2
44921.5,101,1,01,152.2578125,156.1053125000035,5
44921.5,101,1,01,158.94031250000262,159.34531250000146,9
44921.5,101,1,01,159.44656250000116,160.99906249999913,9
44921.5,101,1,01,162.39968750000116,163.41218749999825,9
44921.5,101,1,01,164.20531250000204,166.26406249999854,9
44921.5,101,1,01,167.7659375000003,169.5040624999965,23
44921.5,101,1,01,169.5040624999965,170.4490625000035,22
44921.5,101,1,01,170.4490625000035,170.93843750000087,23
44921.5,101,1,01,180.5740625000035,181.9409375000032,2
44921.5,101,1,01,181.9409375000032,190.95218749999913,0
44921.5,101,1,01,192.84218749999854,193.8546875000029,0
44921.5,101,1,01,195.5590624999968,196.06531250000262,0
44921.5,101,1,01,197.5671874999971,201.27968749999854,0
44921.5,101,1,01,201.65093750000233,207.7765625000029,0
44921.5,101,1,01,209.4640625000029,214.89781249999942,0
44921.5,101,1,01,217.00718749999942,219.89281250000204,0
44921.5,101,1,01,335.06468750000204,340.81906249999884,0
44921.5,101,1,01,344.2109375,346.9953125000029,0
44921.5,101,1,01,346.9953125000029,348.0078125,23
44921.5,101,1,01,348.6321874999994,350.1509375000023,5
44921.5,101,1,01,350.7584375000006,351.5346875000032,5
44921.5,101,1,01,372.3584374999991,375.02468750000116,2
44921.5,101,1,01,375.8009374999965,376.5771874999991,0
44921.5,101,1,01,400.6746875000026,401.0965625000026,0
44921.5,101,1,01,529.0596874999974,530.4096875000032,1
44921.5,101,1,01,531.0003125000003,531.4390625000015,10
44921.5,101,1,01,531.4390625000015,531.9959375000035,1
44921.5,101,1,01,537.9359374999985,539.5221874999988,1
44921.5,101,1,01,542.4415624999965,546.5084375000006,10
44921.5,101,1,01,547.4365624999991,548.0440624999974,1
44921.5,101,1,01,547.8078125000029,548.4996874999997,10
44921.5,101,1,01,548.4996874999997,550.5078125,23
44921.5,101,1,01,558.3209375000006,559.1309374999983,1
44921.5,101,1,01,572.0065624999988,574.0315625000003,1
44921.5,101,1,01,574.4028124999968,576.0565625000017,1
44921.5,101,1,01,577.5078125,579.1278125000026,1
44921.5,101,1,01,580.595937500002,585.6921874999971,0
44921.5,101,1,01,588.1053125000035,590.7378125000032,9
44921.5,101,1,01,591.0078125,591.6153124999983,5
44921.5,101,1,01,591.9190624999974,592.9990624999991,5
44921.5,101,1,01,592.9990624999991,593.4378125000003,1
44921.5,101,1,01,593.9946875000023,594.8553125000035,1
44921.5,101,1,01,596.2390624999971,597.4034374999974,1
44921.5,101,1,01,597.9096875000032,598.7534375000032,1
44921.5,101,1,01,599.7659375000003,600.9471875000017,1
44921.5,101,1,01,600.9471875000017,602.111562500002,9
44921.5,101,1,01,603.0396875000006,603.4446874999994,21
44921.5,101,1,01,603.8496874999983,604.9465625000012,10
44921.5,101,1,01,604.9971874999974,609.2665625000009,2
44921.5,101,1,01,609.6715624999997,610.0934374999997,2
44921.5,101,1,01,614.5653125000026,617.299062500002,2
44921.5,101,1,01,624.4371874999997,625.2134375000023,2
44921.5,101,1,01,640.6878125000003,642.4934375000012,16
44921.5,101,1,01,641.767812500002,645.0078125,22
44921.5,101,1,01,642.7803124999991,644.9740624999977,16
44921.5,101,1,01,645.4465625000012,649.9690625000003,16
44921.5,101,1,01,647.9271874999977,648.4334375000035,14
44921.5,101,1,01,648.4334375000035,653.5634375000009,11
44921.5,101,1,01,656.5671874999971,657.4446874999994,10
44921.5,101,1,01,657.4953125000029,658.6090624999997,10
44921.5,101,1,01,678.5553125000006,678.9940625000017,2
44921.5,101,1,01,679.0278124999968,679.4496874999968,2
44921.5,101,1,01,679.4496874999968,679.8546875000029,16
44921.5,101,1,01,683.1790624999994,683.7865624999977,16
44921.5,101,1,01,688.2921875000029,688.9165625000023,16
44921.5,101,1,01,688.9165625000023,689.8784375000032,11
44921.5,101,1,01,696.2909375000017,697.3371875000012,2
44921.5,101,1,01,700.0709375000006,700.9990624999991,2
44921.5,101,1,01,700.9990624999991,702.0790625000009,27
44921.5,101,1,01,709.5546875,710.5840624999983,16
44921.5,101,1,01,714.8534375000017,715.4946875000023,21
44921.5,101,1,01,716.5071874999994,716.9290624999994,16
44921.5,101,1,01,716.9459375000006,717.5028125000026,16
44921.5,101,1,01,717.9921875,718.4984374999985,11
44921.5,101,1,01,718.4984374999985,721.0971875000032,16
44921.5,101,1,01,721.3671875,722.345937500002,16
44921.5,101,1,01,730.2771875000035,731.0365624999977,16
44921.5,101,1,01,731.5596874999974,733.5003125000003,16
44921.5,101,1,01,733.7703124999971,737.5671874999971,16
44921.5,101,1,01,737.8203125,740.9928125000006,16
44921.5,101,1,01,741.0096875000017,741.4484375000029,16
44921.5,101,1,01,741.4990624999991,742.1234374999985,16
44921.5,101,1,01,744.2665625000009,745.2115625000006,16
44921.5,101,1,01,748.4853125000009,750.1053125000035,16
44921.5,101,1,01,750.9828124999985,752.2315624999974,16
44921.5,101,1,01,754.3578124999985,754.9990624999991,16
44921.5,101,1,01,758.0196874999965,759.3359375,16
44921.5,101,1,01,763.2003124999974,764.0778124999997,4
44921.5,101,1,01,768.2965624999997,769.5284374999974,11
44921.5,101,1,01,769.5284374999974,769.9503124999974,27
44921.5,101,1,01,771.2496874999997,772.8359375,1
44921.5,101,1,01,774.4559375000026,777.9659374999974,16
