Cumulative_shifted,Episode_order,Season,Episode,Correct_start,Correct_stop,Speaker
98411.0,101,1,01,2.4390624999941792,3.82281250001688,4
98411.0,101,1,01,4.852187500015134,6.505937499998254,4
98411.0,101,1,01,6.505937499998254,7.636562500018044,24
98411.0,101,1,01,9.324062500018044,10.9609375,24
98411.0,101,1,01,12.175937499996508,15.432812500017462,24
98411.0,101,1,01,15.449687500018626,19.938437499993597,24
98411.0,101,1,01,19.938437499993597,20.495312500017462,20
98411.0,101,1,01,20.815937499995925,21.997187500004657,20
98411.0,101,1,01,22.94218749999709,23.937812499993015,2
98411.0,101,1,01,23.937812499993015,24.444062499998836,20
98411.0,101,1,01,26.48593749999418,27.009062500015716,5
98411.0,101,1,01,28.6796875,31.143437499995343,5
98411.0,101,1,01,32.459687499998836,33.18531250000524,18
98411.0,101,1,01,33.3203125,33.94468749999942,18
98411.0,101,1,01,33.99531250001746,35.49718750000466,5
98411.0,101,1,01,35.49718750000466,36.6953125,10
98411.0,101,1,01,35.93593750000582,38.180312500015134,5
98411.0,101,1,01,40.40781249999418,51.54531250000582,5
98411.0,101,1,01,51.8828125,53.73906249999709,5
98411.0,101,1,01,57.2490625000064,57.92406249999476,5
98411.0,101,1,01,59.999687500006985,60.505937499998254,5
98411.0,101,1,01,60.505937499998254,61.349687499998254,18
98411.0,101,1,01,61.349687499998254,65.95656249999593,5
98411.0,101,1,01,66.31093750000582,66.9521875000064,5
98411.0,101,1,01,66.9521875000064,67.39093749999302,18
98411.0,101,1,01,71.64343749999534,75.01843749999534,5
98411.0,101,1,01,76.09843749999709,77.12781249999534,5
98411.0,101,1,01,79.1865625000064,80.18218750001688,5
98411.0,101,1,01,80.82343750001746,81.86968750001688,5
98411.0,101,1,01,83.3378125000163,87.1346875000163,5
98411.0,101,1,01,88.14718749999884,90.00343749999593,5
98411.0,101,1,01,91.25218749999476,94.3065625000163,5
98411.0,101,1,01,95.89281249999476,96.75343749999593,5
98411.0,101,1,01,97.04031250001572,98.9471875000163,5
98411.0,101,1,01,98.9471875000163,100.11156249999476,0
98411.0,101,1,01,103.50343749999593,104.0771875000064,10
98411.0,101,1,01,105.41031249999651,106.64218749999418,18
98411.0,101,1,01,106.64218749999418,107.24968750000698,5
98411.0,101,1,01,107.94156249999651,108.44781250001688,10
98411.0,101,1,01,108.44781250001688,109.00468749999709,18
98411.0,101,1,01,111.23218750000524,112.56531249999534,5
98411.0,101,1,01,114.3203125,116.19343749999825,5
98411.0,101,1,01,116.95281250000698,117.74593750001804,18
98411.0,101,1,01,119.18031250001513,119.6865625000064,0
98411.0,101,1,01,120.59781249999651,121.71156250001513,0
98411.0,101,1,01,124.7490625000064,128.25906250001572,24
98411.0,101,1,01,137.11843750001572,138.50218749999476,24
98411.0,101,1,01,140.44281249999767,143.09218750000582,24
98411.0,101,1,01,144.2734375,147.00718749999942,24
98411.0,101,1,01,147.44593750001513,150.78718749999825,11
98411.0,101,1,01,152.00218749999476,154.75281249999534,11
98411.0,101,1,01,170.9696874999936,173.93968749999476,9
98411.0,101,1,01,179.72781250001572,182.49531250001746,0
98411.0,101,1,01,182.49531250001746,184.33468749999884,6
98411.0,101,1,01,190.3759374999936,191.00031249999302,17
98411.0,101,1,01,191.00031249999302,191.59093750000466,8
98411.0,101,1,01,191.59093750000466,191.99593750001804,17
98411.0,101,1,01,210.22093749999476,211.11531249999825,25
98411.0,101,1,01,226.82593750000524,227.73718749999534,0
98411.0,101,1,01,227.77093749999767,229.4921875,0
98411.0,101,1,01,229.4921875,232.00656249999884,18
98411.0,101,1,01,232.07406250001804,232.49593750001804,18
98411.0,101,1,01,233.00218749999476,236.95093750000524,23
98411.0,101,1,01,236.95093750000524,239.3134374999936,10
98411.0,101,1,01,239.93781249999302,240.42718749999767,14
98411.0,101,1,01,240.49468750001688,244.7978124999936,17
98411.0,101,1,01,245.96218750001572,252.25656249999884,17
98411.0,101,1,01,255.14218749999418,257.6059375000186,9
98411.0,101,1,01,258.5509374999965,259.1078125000058,17
98411.0,101,1,01,259.3271875000064,262.33093749999534,17
98411.0,101,1,01,263.2421875,263.7821874999936,17
98411.0,101,1,01,264.49093749999884,269.70531249999476,17
98411.0,101,1,01,270.04281250001804,271.4096874999959,17
98411.0,101,1,01,284.7915625000169,286.2259374999994,23
98411.0,101,1,01,287.27218749999884,288.5040624999965,10
98411.0,101,1,01,288.5040624999965,291.22093749999476,16
98411.0,101,1,01,292.6553125000064,293.5834374999977,17
98411.0,101,1,01,294.1571874999936,295.0009374999936,17
98411.0,101,1,01,296.5365624999977,298.19031249999534,17
98411.0,101,1,01,298.9834375000064,301.34593749999476,17
98411.0,101,1,01,305.49718750000466,305.98656249999476,17
98411.0,101,1,01,308.45031250000466,308.93968749999476,17
98411.0,101,1,01,311.94343749999825,312.4496875000186,9
98411.0,101,1,01,313.8840625000157,314.8290624999936,17
98411.0,101,1,01,315.95968749999884,316.499687500007,17
98411.0,101,1,01,316.6009374999994,317.00593749999825,17
98411.0,101,1,01,317.00593749999825,317.49531250001746,10
98411.0,101,1,01,332.8009374999965,337.05343749999884,10
98411.0,101,1,01,340.9009375000169,342.4028125000186,22
98411.0,101,1,01,344.95093750000524,345.3896875000064,23
98411.0,101,1,01,345.44031249999534,345.9296875,23
98411.0,101,1,01,345.99718750000466,346.5034374999959,17
98411.0,101,1,01,346.5034374999959,348.0053124999977,23
98411.0,101,1,01,348.44406249999884,349.0009374999936,23
98411.0,101,1,01,349.43968749999476,349.86156249999476,10
