,Cumulative_shifted,Correct_start,Correct_stop,Episode_order,Season,Episode,Start_formatted,Stop_formatted,Speaker,Actual,
48,108188,187.274687500016,188.506562499999,101,1,1,0 days 00:03:07.274688,0 days 00:03:08.506562,15,,
49,108188,188.9453125,191.257187499999,101,1,1,0 days 00:03:08.945312,0 days 00:03:11.257187,0,,
50,108188,191.662187499998,192.826562500006,101,1,1,0 days 00:03:11.662187,0 days 00:03:12.826563,0,,
51,108188,195.560312500005,195.999062500006,101,1,1,0 days 00:03:15.560313,0 days 00:03:15.999063,12,,
52,108188,195.999062500006,196.505312499998,101,1,1,0 days 00:03:15.999063,0 days 00:03:16.505312,9,,
53,108188,196.505312499998,196.994687500017,101,1,1,0 days 00:03:16.505312,0 days 00:03:16.994688,7,,
54,108188,197.956562499996,198.445937500015,101,1,1,0 days 00:03:17.956562,0 days 00:03:18.445938,12,,
55,108188,198.445937500015,199.002812499995,101,1,1,0 days 00:03:18.445938,0 days 00:03:19.002812,9,,
56,108188,199.019687499997,199.4921875,101,1,1,0 days 00:03:19.019687,0 days 00:03:19.492188,9,,
57,108188,199.4921875,205.938437499994,101,1,1,0 days 00:03:19.492188,0 days 00:03:25.938437,0,,
58,108188,206.714687500018,207.912812499999,101,1,1,0 days 00:03:26.714688,0 days 00:03:27.912812,3,,
59,108188,208.233437500006,208.840937500019,101,1,1,0 days 00:03:28.233438,0 days 00:03:28.840938,3,,
60,108188,209.887187500019,211.287812499999,101,1,1,0 days 00:03:29.887188,0 days 00:03:31.287812,3,,
61,108188,211.574687500019,213.937187500007,101,1,1,0 days 00:03:31.574688,0 days 00:03:33.937188,3,,
62,108188,216.384062500016,217.902812500019,101,1,1,0 days 00:03:36.384063,0 days 00:03:37.902813,0,,
63,108188,219.590312500019,221.530937500007,101,1,1,0 days 00:03:39.590313,0 days 00:03:41.530938,0,,
64,108188,221.530937500007,226.306562500016,101,1,1,0 days 00:03:41.530938,0 days 00:03:46.306563,8,,
65,108188,226.306562500016,229.799687499995,101,1,1,0 days 00:03:46.306563,0 days 00:03:49.799687,3,,
66,108188,237.258437500015,238.507187499999,101,1,1,0 days 00:03:57.258438,0 days 00:03:58.507187,8,,
67,108188,239.941562499996,243.502187499995,101,1,1,0 days 00:03:59.941562,0 days 00:04:03.502187,0,,
68,108188,243.502187499995,248.497187500019,101,1,1,0 days 00:04:03.502187,0 days 00:04:08.497188,3,,
69,108188,248.497187500019,254.943437499998,101,1,1,0 days 00:04:08.497188,0 days 00:04:14.943437,6,,
70,108188,254.943437499998,256.293437500019,101,1,1,0 days 00:04:14.943437,0 days 00:04:16.293438,8,,
71,108188,258.757187499999,263.296562500007,101,1,1,0 days 00:04:18.757187,0 days 00:04:23.296563,8,,
72,108188,264.055937500016,267.937187500007,101,1,1,0 days 00:04:24.055938,0 days 00:04:27.937188,8,,
73,108188,267.937187500007,271.497812500005,101,1,1,0 days 00:04:27.937188,0 days 00:04:31.497813,0,,
74,108188,271.497812500005,276.678437499999,101,1,1,0 days 00:04:31.497813,0 days 00:04:36.678437,7,,
75,108188,278.298437499994,281.994062500016,101,1,1,0 days 00:04:38.298437,0 days 00:04:41.994063,7,,
76,108188,282.449687500019,283.225937499999,101,1,1,0 days 00:04:42.449688,0 days 00:04:43.225937,2,,
77,108188,283.4453125,286.651562500017,101,1,1,0 days 00:04:43.445312,0 days 00:04:46.651563,2,,
78,108188,289.992812500015,290.836562500015,101,1,1,0 days 00:04:49.992813,0 days 00:04:50.836563,7,,
79,108188,293.131562499999,294.819062499999,101,1,1,0 days 00:04:53.131562,0 days 00:04:54.819062,5,,
80,108188,294.819062499999,297.924062499995,101,1,1,0 days 00:04:54.819062,0 days 00:04:57.924062,2,,
81,108188,297.924062499995,301.299062499995,101,1,1,0 days 00:04:57.924062,0 days 00:05:01.299062,5,,
82,108188,301.299062499995,307.053437499999,101,1,1,0 days 00:05:01.299062,0 days 00:05:07.053437,2,,
83,108188,307.053437499999,310.850312499999,101,1,1,0 days 00:05:07.053437,0 days 00:05:10.850312,5,,
84,108188,310.850312499999,311.778437500019,101,1,1,0 days 00:05:10.850312,0 days 00:05:11.778438,2,,
