,Cumulative_shifted,Correct_start,Correct_stop,Episode_order,Season,Episode,Start_formatted,Stop_formatted,Speaker,Actual,
48,10122,158.275312499998,159.287812500001,101,1,1,0 days 00:02:38.275312,0 days 00:02:39.287813,12,,
49,10122,159.524062500001,160.030312499999,101,1,1,0 days 00:02:39.524063,0 days 00:02:40.030312,12,,
50,10122,160.5703125,162.325312499999,101,1,1,0 days 00:02:40.570312,0 days 00:02:42.325312,12,,
51,10122,163.320937500001,163.9959375,101,1,1,0 days 00:02:43.320938,0 days 00:02:43.995937,12,,
52,10122,163.9959375,167.3203125,101,1,1,0 days 00:02:43.995937,0 days 00:02:47.320312,19,,
53,10122,167.8265625,169.446562499999,101,1,1,0 days 00:02:47.826563,0 days 00:02:49.446562,19,,
54,10122,169.446562499999,170.442187500001,101,1,1,0 days 00:02:49.446562,0 days 00:02:50.442188,5,,
55,10122,174.002812500001,174.407812499998,101,1,1,0 days 00:02:54.002813,0 days 00:02:54.407812,24,,
56,10122,174.4415625,175.504687500001,101,1,1,0 days 00:02:54.441563,0 days 00:02:55.504688,24,,
57,10122,178.424062499998,179.7065625,101,1,1,0 days 00:02:58.424062,0 days 00:02:59.706562,16,,
58,10122,179.7065625,181.005937499998,101,1,1,0 days 00:02:59.706562,0 days 00:03:01.005937,21,,
59,10122,181.208437499999,182.895937499999,101,1,1,0 days 00:03:01.208437,0 days 00:03:02.895937,3,,
60,10122,184.364062500001,185.629687500001,101,1,1,0 days 00:03:04.364063,0 days 00:03:05.629688,24,,
61,10122,190.304062499999,192.1096875,101,1,1,0 days 00:03:10.304062,0 days 00:03:12.109688,24,,
62,10122,193.814062499998,194.3709375,101,1,1,0 days 00:03:13.814062,0 days 00:03:14.370937,24,,
63,10122,195.518437500001,196.8178125,101,1,1,0 days 00:03:15.518438,0 days 00:03:16.817812,24,,
64,10122,197.475937499999,197.931562499998,101,1,1,0 days 00:03:17.475937,0 days 00:03:17.931562,24,,
65,10122,198.606562499999,199.6528125,101,1,1,0 days 00:03:18.606562,0 days 00:03:19.652813,24,,
66,10122,201.323437499999,201.9478125,101,1,1,0 days 00:03:21.323437,0 days 00:03:21.947813,24,,
67,10122,201.9478125,202.994062499998,101,1,1,0 days 00:03:21.947813,0 days 00:03:22.994062,22,,
68,10122,207.4828125,209.440312500001,101,1,1,0 days 00:03:27.482813,0 days 00:03:29.440313,24,,
69,10122,209.760937499999,211.448437499999,101,1,1,0 days 00:03:29.760937,0 days 00:03:31.448437,12,,
70,10122,211.448437499999,212.4946875,101,1,1,0 days 00:03:31.448437,0 days 00:03:32.494688,0,,
71,10122,214.4184375,215.751562499998,101,1,1,0 days 00:03:34.418438,0 days 00:03:35.751562,16,,
72,10122,218.350312500001,219.548437499998,101,1,1,0 days 00:03:38.350313,0 days 00:03:39.548437,25,,
73,10122,230.5003125,233.6559375,101,1,1,0 days 00:03:50.500313,0 days 00:03:53.655937,25,,
74,10122,234.263437499998,234.735937499998,101,1,1,0 days 00:03:54.263437,0 days 00:03:54.735937,25,,
75,10122,234.735937499998,236.440312500001,101,1,1,0 days 00:03:54.735937,0 days 00:03:56.440313,12,,
76,10122,236.440312500001,241.0978125,101,1,1,0 days 00:03:56.440313,0 days 00:04:01.097813,23,,
77,10122,241.6209375,242.127187499998,101,1,1,0 days 00:04:01.620937,0 days 00:04:02.127187,23,,
78,10122,242.127187499998,243.7303125,101,1,1,0 days 00:04:02.127187,0 days 00:04:03.730312,17,,
79,10122,244.9959375,246.936562499999,101,1,1,0 days 00:04:04.995937,0 days 00:04:06.936562,17,,
80,10122,251.712187499999,252.707812500001,101,1,1,0 days 00:04:11.712187,0 days 00:04:12.707813,20,,
81,10122,252.707812500001,254.091562499998,101,1,1,0 days 00:04:12.707813,0 days 00:04:14.091562,23,,
82,10122,254.091562499998,268.2496875,101,1,1,0 days 00:04:14.091562,0 days 00:04:28.249687,20,,
83,10122,265.6678125,266.663437499999,101,1,1,0 days 00:04:25.667812,0 days 00:04:26.663437,0,,
84,10122,268.755937499998,286.002187499998,101,1,1,0 days 00:04:28.755937,0 days 00:04:46.002187,20,,
