,Cumulative_shifted,Correct_start,Correct_stop,Episode_order,Season,Episode,Start_formatted,Stop_formatted,Speaker
48,89388.0,242.4065625000076,243.3684375000157,101,1,1,0 days 00:04:02.406563,0 days 00:04:03.368438,4
49,89388.0,246.38906250000585,248.1271875000093,101,1,1,0 days 00:04:06.389063,0 days 00:04:08.127188,0
50,89388.0,253.02093750001225,256.22718750001513,101,1,1,0 days 00:04:13.020938,0 days 00:04:16.227188,4
51,89388.0,258.5728125000169,260.9521875000064,101,1,1,0 days 00:04:18.572813,0 days 00:04:20.952188,9
52,89388.0,263.3146875000093,265.7109375000145,101,1,1,0 days 00:04:23.314688,0 days 00:04:25.710938,21
53,89388.0,277.5571875000169,278.3503125000134,101,1,1,0 days 00:04:37.557188,0 days 00:04:38.350313,21
54,89388.0,281.5565625000163,282.23156250000466,101,1,1,0 days 00:04:41.556563,0 days 00:04:42.231563,21
55,89388.0,291.9515625000058,293.20031250000466,101,1,1,0 days 00:04:51.951563,0 days 00:04:53.200313,9
56,89388.0,294.19593750001513,294.7359375000088,101,1,1,0 days 00:04:54.195938,0 days 00:04:54.735938,21
57,89388.0,300.9965625000041,301.9921875000145,101,1,1,0 days 00:05:00.996563,0 days 00:05:01.992188,21
58,89388.0,303.9496875000041,306.9703125000088,101,1,1,0 days 00:05:03.949688,0 days 00:05:06.970313,9
59,89388.0,309.1978125000169,311.7290625000169,101,1,1,0 days 00:05:09.197813,0 days 00:05:11.729063,9
60,89388.0,335.944687500014,338.22281250001106,101,1,1,0 days 00:05:35.944688,0 days 00:05:38.222813,21
61,89388.0,353.562187500007,354.94593750001513,101,1,1,0 days 00:05:53.562188,0 days 00:05:54.945938,4
62,89388.0,354.94593750001513,355.3846875000163,101,1,1,0 days 00:05:54.945938,0 days 00:05:55.384688,0
63,89388.0,357.05531250001513,358.4390625000088,101,1,1,0 days 00:05:57.055313,0 days 00:05:58.439063,0
64,89388.0,361.5271875000181,362.8265625000058,101,1,1,0 days 00:06:01.527188,0 days 00:06:02.826563,9
65,89388.0,366.640312500007,367.7034375000076,101,1,1,0 days 00:06:06.640313,0 days 00:06:07.703438,9
