,Cumulative_shifted,Correct_start,Correct_stop,Episode_order,Season,Episode,Start_formatted,Stop_formatted,Speaker
55,44921.5,624.4371874999997,625.2134375000023,101,1,1,0 days 00:10:24.437187,0 days 00:10:25.213438,2
56,44921.5,640.6878125000003,642.4934375000012,101,1,1,0 days 00:10:40.687813,0 days 00:10:42.493438,16
57,44921.5,641.767812500002,645.0078125,101,1,1,0 days 00:10:41.767813,0 days 00:10:45.007812,22
58,44921.5,642.7803124999991,644.9740624999977,101,1,1,0 days 00:10:42.780312,0 days 00:10:44.974062,16
59,44921.5,645.4465625000012,649.9690625000003,101,1,1,0 days 00:10:45.446563,0 days 00:10:49.969063,16
60,44921.5,647.9271874999977,648.4334375000035,101,1,1,0 days 00:10:47.927187,0 days 00:10:48.433438,14
61,44921.5,648.4334375000035,653.5634375000009,101,1,1,0 days 00:10:48.433438,0 days 00:10:53.563438,11
62,44921.5,656.5671874999971,657.4446874999994,101,1,1,0 days 00:10:56.567187,0 days 00:10:57.444687,10
63,44921.5,657.4953125000029,658.6090624999997,101,1,1,0 days 00:10:57.495313,0 days 00:10:58.609062,10
64,44921.5,678.5553125000006,678.9940625000017,101,1,1,0 days 00:11:18.555313,0 days 00:11:18.994063,2
65,44921.5,679.0278124999968,679.4496874999968,101,1,1,0 days 00:11:19.027812,0 days 00:11:19.449687,2
66,44921.5,679.4496874999968,679.8546875000029,101,1,1,0 days 00:11:19.449687,0 days 00:11:19.854688,16
67,44921.5,683.1790624999994,683.7865624999977,101,1,1,0 days 00:11:23.179062,0 days 00:11:23.786562,16
68,44921.5,688.2921875000029,688.9165625000023,101,1,1,0 days 00:11:28.292188,0 days 00:11:28.916563,16
69,44921.5,688.9165625000023,689.8784375000032,101,1,1,0 days 00:11:28.916563,0 days 00:11:29.878438,11
70,44921.5,696.2909375000017,697.3371875000012,101,1,1,0 days 00:11:36.290938,0 days 00:11:37.337188,2
71,44921.5,700.0709375000006,700.9990624999991,101,1,1,0 days 00:11:40.070938,0 days 00:11:40.999062,2
72,44921.5,700.9990624999991,702.0790625000009,101,1,1,0 days 00:11:40.999062,0 days 00:11:42.079063,27
73,44921.5,709.5546875,710.5840624999983,101,1,1,0 days 00:11:49.554688,0 days 00:11:50.584062,16
74,44921.5,714.8534375000017,715.4946875000023,101,1,1,0 days 00:11:54.853438,0 days 00:11:55.494688,21
75,44921.5,716.5071874999994,716.9290624999994,101,1,1,0 days 00:11:56.507187,0 days 00:11:56.929062,16
76,44921.5,716.9459375000006,717.5028125000026,101,1,1,0 days 00:11:56.945938,0 days 00:11:57.502813,16
77,44921.5,717.9921875,718.4984374999985,101,1,1,0 days 00:11:57.992188,0 days 00:11:58.498437,11
78,44921.5,718.4984374999985,721.0971875000032,101,1,1,0 days 00:11:58.498437,0 days 00:12:01.097188,16
79,44921.5,721.3671875,722.345937500002,101,1,1,0 days 00:12:01.367188,0 days 00:12:02.345938,16
80,44921.5,730.2771875000035,731.0365624999977,101,1,1,0 days 00:12:10.277188,0 days 00:12:11.036562,16
81,44921.5,731.5596874999974,733.5003125000003,101,1,1,0 days 00:12:11.559687,0 days 00:12:13.500313,16
82,44921.5,733.7703124999971,737.5671874999971,101,1,1,0 days 00:12:13.770312,0 days 00:12:17.567187,16
83,44921.5,737.8203125,740.9928125000006,101,1,1,0 days 00:12:17.820312,0 days 00:12:20.992813,16
84,44921.5,741.0096875000017,741.4484375000029,101,1,1,0 days 00:12:21.009688,0 days 00:12:21.448438,16
85,44921.5,741.4990624999991,742.1234374999985,101,1,1,0 days 00:12:21.499062,0 days 00:12:22.123437,16
86,44921.5,744.2665625000009,745.2115625000006,101,1,1,0 days 00:12:24.266563,0 days 00:12:25.211563,16
87,44921.5,748.4853125000009,750.1053125000035,101,1,1,0 days 00:12:28.485313,0 days 00:12:30.105313,16
88,44921.5,750.9828124999985,752.2315624999974,101,1,1,0 days 00:12:30.982812,0 days 00:12:32.231562,16
89,44921.5,754.3578124999985,754.9990624999991,101,1,1,0 days 00:12:34.357812,0 days 00:12:34.999062,16
90,44921.5,758.0196874999965,759.3359375,101,1,1,0 days 00:12:38.019687,0 days 00:12:39.335938,16
91,44921.5,763.2003124999974,764.0778124999997,101,1,1,0 days 00:12:43.200312,0 days 00:12:44.077812,4
92,44921.5,768.2965624999997,769.5284374999974,101,1,1,0 days 00:12:48.296562,0 days 00:12:49.528437,11
93,44921.5,769.5284374999974,769.9503124999974,101,1,1,0 days 00:12:49.528437,0 days 00:12:49.950312,27
94,44921.5,771.2496874999997,772.8359375,101,1,1,0 days 00:12:51.249687,0 days 00:12:52.835938,1
95,44921.5,774.4559375000026,777.9659374999974,101,1,1,0 days 00:12:54.455938,0 days 00:12:57.965937,16
96,44921.5,777.9996874999997,779.720937500002,101,1,1,0 days 00:12:57.999687,0 days 00:12:59.720938,16
97,44921.5,787.5340625000026,788.0065624999988,101,1,1,0 days 00:13:07.534063,0 days 00:13:08.006562,22
98,44921.5,791.955312500002,792.3603125000009,101,1,1,0 days 00:13:11.955313,0 days 00:13:12.360313,6
99,44921.5,795.9378125000003,797.0684374999983,101,1,1,0 days 00:13:15.937813,0 days 00:13:17.068437,6
100,44921.5,798.9078125000015,799.8528125000012,101,1,1,0 days 00:13:18.907813,0 days 00:13:19.852813,16
101,44921.5,800.2578125,800.7809374999997,101,1,1,0 days 00:13:20.257812,0 days 00:13:20.780937,16
102,44921.5,802.7384374999965,803.7509375000009,101,1,1,0 days 00:13:22.738437,0 days 00:13:23.750938,16
103,44921.5,806.0965625000026,807.0078125,101,1,1,0 days 00:13:26.096563,0 days 00:13:27.007812,16
104,44921.5,807.0078125,808.0878125000017,101,1,1,0 days 00:13:27.007812,0 days 00:13:28.087813,1
105,44921.5,808.3915625000009,810.0115625000035,101,1,1,0 days 00:13:28.391563,0 days 00:13:30.011563,1
106,44921.5,812.0703125,813.3528125000012,101,1,1,0 days 00:13:32.070312,0 days 00:13:33.352813,2
107,44921.5,817.2846875000032,818.3646874999977,101,1,1,0 days 00:13:37.284688,0 days 00:13:38.364687,2
108,44921.5,820.5584375000035,822.3134375000009,101,1,1,0 days 00:13:40.558438,0 days 00:13:42.313438,16
109,44921.5,823.4440624999988,825.6715624999997,101,1,1,0 days 00:13:43.444062,0 days 00:13:45.671562,20
110,44921.5,829.1309374999983,831.8309375000026,101,1,1,0 days 00:13:49.130937,0 days 00:13:51.830938,11
111,44921.5,832.8265624999985,835.5940625000003,101,1,1,0 days 00:13:52.826562,0 days 00:13:55.594063,11
112,44921.5,839.4246875000026,841.1290624999965,101,1,1,0 days 00:13:59.424688,0 days 00:14:01.129062,27
113,44921.5,845.8878124999974,846.5628125000003,101,1,1,0 days 00:14:05.887812,0 days 00:14:06.562813,20
114,44921.5,848.8071875000023,849.6678125000035,101,1,1,0 days 00:14:08.807188,0 days 00:14:09.667813,4
115,44921.5,851.591562499998,853.7178124999991,101,1,1,0 days 00:14:11.591562,0 days 00:14:13.717812,4
116,44921.5,855.7090624999983,857.0421875000029,101,1,1,0 days 00:14:15.709062,0 days 00:14:17.042188,4
117,44921.5,865.0746874999968,867.6059374999968,101,1,1,0 days 00:14:25.074687,0 days 00:14:27.605937,4
118,44921.5,869.0740625000035,870.575937499998,101,1,1,0 days 00:14:29.074063,0 days 00:14:30.575937,4
119,44921.5,873.3940625000032,874.5921874999985,101,1,1,0 days 00:14:33.394063,0 days 00:14:34.592187,4
120,44921.5,876.9209374999991,877.8828125,101,1,1,0 days 00:14:36.920937,0 days 00:14:37.882812,4
121,44921.5,879.3171874999971,881.5953125000015,101,1,1,0 days 00:14:39.317187,0 days 00:14:41.595313,4
122,44921.5,881.7471874999974,882.8778125000026,101,1,1,0 days 00:14:41.747187,0 days 00:14:42.877813,4
123,44921.5,884.4809374999968,886.2190625000003,101,1,1,0 days 00:14:44.480937,0 days 00:14:46.219063,4
