,Cumulative_shifted,Correct_start,Correct_stop,Episode_order,Season,Episode,Start_formatted,Stop_formatted,Speaker
48,64578.0,206.26406250000585,207.42843749999884,101,1,1,0 days 00:03:26.264063,0 days 00:03:27.428437,20
49,64578.0,212.64281250000204,213.5034375000032,101,1,1,0 days 00:03:32.642813,0 days 00:03:33.503438,1
50,64578.0,213.5034375000032,218.9371874999997,101,1,1,0 days 00:03:33.503438,0 days 00:03:38.937187,20
51,64578.0,218.9371874999997,220.8440625000003,101,1,1,0 days 00:03:38.937187,0 days 00:03:40.844063,3
52,64578.0,221.2659375000003,221.9409375000032,101,1,1,0 days 00:03:41.265938,0 days 00:03:41.940938,20
53,64578.0,221.99156249999945,225.1640625,101,1,1,0 days 00:03:41.991562,0 days 00:03:45.164062,17
54,64578.0,229.88906250000585,235.89656250000556,101,1,1,0 days 00:03:49.889063,0 days 00:03:55.896563,17
55,64578.0,243.64218750000143,244.70531250000204,101,1,1,0 days 00:04:03.642188,0 days 00:04:04.705313,17
56,64578.0,249.7340624999997,250.5778124999997,101,1,1,0 days 00:04:09.734062,0 days 00:04:10.577812,6
57,64578.0,251.70843750000492,252.56906249999884,101,1,1,0 days 00:04:11.708438,0 days 00:04:12.569062,6
58,64578.0,252.56906249999884,253.39593750000492,101,1,1,0 days 00:04:12.569062,0 days 00:04:13.395938,22
59,64578.0,255.2690625000032,255.84281249999916,101,1,1,0 days 00:04:15.269063,0 days 00:04:15.842812,22
60,64578.0,257.4965624999968,257.9521874999991,101,1,1,0 days 00:04:17.496562,0 days 00:04:17.952187,22
61,64578.0,259.25156250000146,259.67343750000146,101,1,1,0 days 00:04:19.251563,0 days 00:04:19.673438,6
62,64578.0,260.24718750000466,262.0190625000032,101,1,1,0 days 00:04:20.247188,0 days 00:04:22.019063,6
63,64578.0,262.4915624999994,264.95531250000204,101,1,1,0 days 00:04:22.491562,0 days 00:04:24.955313,6
64,64578.0,268.1446874999965,269.6465625000056,101,1,1,0 days 00:04:28.144687,0 days 00:04:29.646563,6
65,64578.0,269.8321874999965,270.69281250000495,101,1,1,0 days 00:04:29.832187,0 days 00:04:30.692813,6
66,64578.0,272.0090625000012,273.4434375000056,101,1,1,0 days 00:04:32.009063,0 days 00:04:33.443438,6
67,64578.0,275.33343750000495,276.5653125000026,101,1,1,0 days 00:04:35.333438,0 days 00:04:36.565313,6
68,64578.0,279.9403125000026,281.6278125000026,101,1,1,0 days 00:04:39.940313,0 days 00:04:41.627813,6
69,64578.0,283.4671875000058,284.4796875000029,101,1,1,0 days 00:04:43.467188,0 days 00:04:44.479688,6
70,64578.0,289.67718750000495,290.52093750000495,101,1,1,0 days 00:04:49.677188,0 days 00:04:50.520938,7
71,64578.0,293.5415625000023,296.1403124999997,101,1,1,0 days 00:04:53.541563,0 days 00:04:56.140312,7
